method,display,k,minimum_source_cells,included_source_clusters,included_source_cells,equal_cluster_weight_recall,source_cell_weighted_recall
dire,DiRe (IVF-Flat control),2,10000,15,1294801,0.16666666666666666,0.2999302595533985
dire,DiRe (IVF-Flat control),3,0,20,1306127,0.2833333333333333,0.31489331946025667
dire,DiRe (IVF-Flat control),3,1000,17,1305364,0.2352941176470588,0.3147191128298314
dire,DiRe (IVF-Flat control),3,10000,15,1294801,0.24444444444444446,0.3159896128182374
dire,DiRe (IVF-Flat control),4,0,20,1306127,0.25,0.325038453381639
dire,DiRe (IVF-Flat control),4,1000,17,1305364,0.22058823529411764,0.32495974302953046
dire,DiRe (IVF-Flat control),4,10000,15,1294801,0.23333333333333334,0.32663803163574945
dire,DiRe (IVF-Flat control),5,0,20,1306127,0.31000000000000005,0.36937051297461887
dire,DiRe (IVF-Flat control),5,1000,17,1305364,0.28235294117647064,0.36934479578110013
dire,DiRe (IVF-Flat control),5,10000,15,1294801,0.2800000000000001,0.3699481233023453
dire,DiRe (IVF-Flat control),6,0,20,1306127,0.29999999999999993,0.32793352662745145
dire,DiRe (IVF-Flat control),6,1000,17,1305364,0.2745098039215686,0.3279173471920475
dire,DiRe (IVF-Flat control),6,10000,15,1294801,0.27777777777777773,0.32858434101713957
dire,DiRe (IVF-Flat control),7,0,20,1306127,0.35,0.4186698536972284
dire,DiRe (IVF-Flat control),7,1000,17,1305364,0.3445378151260504,0.4187364049961762
dire,DiRe (IVF-Flat control),7,10000,15,1294801,0.36190476190476184,0.4204311815373284
dire,DiRe (IVF-Flat control),8,0,20,1306127,0.3625,0.42831918335659547
dire,DiRe (IVF-Flat control),8,1000,17,1305364,0.35294117647058826,0.4283523599547712
dire,DiRe (IVF-Flat control),8,10000,15,1294801,0.375,0.43034074348104456
dire,DiRe (IVF-Flat control),9,0,20,1306127,0.37777777777777777,0.42063903433586475
dire,DiRe (IVF-Flat control),9,1000,17,1305364,0.3790849673202614,0.4206918530003891
dire,DiRe (IVF-Flat control),9,10000,15,1294801,0.39999999999999997,0.42231097030869347
dire,DiRe (IVF-Flat control),10,0,20,1306127,0.41000000000000003,0.47269584045043095
dire,DiRe (IVF-Flat control),10,1000,17,1305364,0.40588235294117647,0.4727399407368367
dire,DiRe (IVF-Flat control),10,10000,15,1294801,0.42000000000000004,0.4741491549666704
dire_spectral,DiRe (spectral init),1,0,20,1306127,0.35,0.6007723598088088
dire_spectral,DiRe (spectral init),1,1000,17,1305364,0.35294117647058826,0.6010292914466769
dire_spectral,DiRe (spectral init),1,10000,15,1294801,0.4,0.6059324946458954
dire_spectral,DiRe (spectral init),2,0,20,1306127,0.35,0.5302240900004364
dire_spectral,DiRe (spectral init),2,1000,17,1305364,0.35294117647058826,0.5304673638923703
dire_spectral,DiRe (spectral init),2,10000,15,1294801,0.36666666666666664,0.532849449452078
dire_spectral,DiRe (spectral init),3,0,20,1306127,0.4333333333333334,0.6907651399902154
dire_spectral,DiRe (spectral init),3,1000,17,1305364,0.45098039215686275,0.6909740629178273
dire_spectral,DiRe (spectral init),3,10000,15,1294801,0.4666666666666666,0.6940170728938269
dire_spectral,DiRe (spectral init),4,0,20,1306127,0.425,0.6186507897011546
dire_spectral,DiRe (spectral init),4,1000,17,1305364,0.4264705882352941,0.6187436990755069
dire_spectral,DiRe (spectral init),4,10000,15,1294801,0.43333333333333335,0.6208732075430896
dire_spectral,DiRe (spectral init),5,0,20,1306127,0.43999999999999995,0.6820770108879152
