dataset,N,R_fit_total,R_steady,m_graph_queries,auto_requested_index,auto_effective_index,auto_cold_total_sec,auto_steady_total_sec,auto_steady_total_std_sec,auto_steady_knn_graph_sec,auto_steady_initialization_sec,auto_steady_layout_sec,auto_chunked_fallback_calls,control_steady_total_sec,steady_speedup_control_over_auto,graph_overlap_mean,graph_overlap_median,graph_overlap_q05,graph_overlap_q95,graph_zero_overlap_fraction,graph_exact_set_match_fraction
tenx,1306127,3,2,20000,auto,ivf_pq,9.26442426200083,7.454649476001578,0.011426839926627005,4.9245872874998895,0.06077511799958302,2.3256545005006046,0,8.97075216399935,1.2033767909381246,0.624609375,0.625,0.4375,0.8125,0.00025,0.0
arxiv,723457,3,2,20000,auto,ivf_pq,15.117585444000724,13.71760531700238,0.06823970195677342,12.142872915001135,0.15933642299933126,1.2935017729996616,0,43.78069353550018,3.1915697035863757,0.839925,0.875,0.6875,0.9375,0.00035,0.03135
