dataset,method,display,diameter_bottleneck_beta0,diameter_bottleneck_beta1,q99_bottleneck_beta0,q99_bottleneck_beta1,diameter_dtw_beta0,diameter_dtw_beta1,q99_dtw_beta0,q99_dtw_beta1,diameter_to_q99_ratio_mean,layout_seed_bottleneck_beta0_mean,layout_seed_bottleneck_beta0_std,layout_seed_bottleneck_beta1_mean,layout_seed_bottleneck_beta1_std,layout_seed_dtw_beta0_mean,layout_seed_dtw_beta0_std,layout_seed_dtw_beta1_mean,layout_seed_dtw_beta1_std,layout_seed_q99_bottleneck_beta0_mean,layout_seed_q99_bottleneck_beta0_std,layout_seed_q99_bottleneck_beta1_mean,layout_seed_q99_bottleneck_beta1_std,layout_seed_q99_dtw_beta0_mean,layout_seed_q99_dtw_beta0_std,layout_seed_q99_dtw_beta1_mean,layout_seed_q99_dtw_beta1_std
tenx,pca2,PCA (2D),0.4270747244358063,0.01955434437841177,2.687212553767567,0.05020354492906602,0.306675,0.05775,0.40090000000000003,0.0833,1.3244644556806078,,,,,,,,,,,,,,,,
tenx,dire_auto,DiRe (auto cuVS),0.4270747244358063,0.03382926397025585,2.687212553767567,0.05303669239932801,0.22147499999999995,0.046775,0.4176,0.0741,1.2146814876394874,0.3910366892814636,0.0,0.03687113026777903,0.005387478498202612,0.18800000000000003,0.0028831406486677013,0.04850000000000001,0.0023848480035423662,2.6149994367508933,0.0,0.13134666928990152,0.0,0.4134166666666667,0.0007216878364870488,0.08908333333333333,0.0020966242709015226
tenx,dire,DiRe (IVF-Flat control),0.4270747244358063,0.03134027123451233,2.687212553767567,0.05172695304755581,0.220525,0.049049999999999996,0.4154,0.0742,1.2141672204856782,0.3910366892814636,0.0,0.031231734280784924,0.00015486926806250863,0.18425000000000002,0.0016393596310755017,0.05408333333333334,0.002020725942163692,2.6149994367508933,0.0,0.13134666928990152,0.0,0.413,0.0,0.08833333333333333,0.000763762615825974
tenx,dire_spectral,DiRe (spectral init),0.4270747244358063,0.04323603324592114,2.687212553767567,0.055226293326140576,0.3036,0.0475,0.40512499999999996,0.0833,1.1230461665372435,0.3910366892814636,0.0,0.029040745149056118,0.006640952937378595,0.27991666666666665,0.007930689335318415,0.05441666666666667,0.0011814539065631532,2.6149994367508933,0.0,0.13134666928990152,0.0,0.40066666666666667,0.0016266017746619152,0.09758333333333334,0.001010362971081846
tenx,cuml_umap,cuML UMAP,0.4270747244358063,0.03950318563729525,2.687212553767567,0.05490155023106365,0.20237500000000003,0.04792500000000001,0.412575,0.08014999999999999,1.1584569046359965,0.3910366892814636,0.0,0.027584608644247055,0.001099634675980117,0.14874999999999997,0.0046703854230673554,0.061,0.0058949130612758,2.6149994367508933,0.0,0.13134666928990152,0.0,0.40841666666666665,0.0019094065395649231,0.09508333333333334,0.001010362971081846
tenx,cuml_tsne,cuML t-SNE,0.4270747244358063,0.013651499524712563,2.687212553767567,0.05130708261336736,0.130475,0.04055,0.4191,0.0743,1.2297769872842879,0.3910366892814636,0.0,0.013376740738749504,0.0013564973753508035,0.09358333333333334,0.036146691872608945,0.043333333333333335,0.0010408329997330646,2.6149994367508933,0.0,0.13134666928990152,0.0,0.4138333333333333,0.0014433756729740658,0.09125,0.002704163456597994
tenx,cellranger_tsne,Cell Ranger t-SNE,0.4270747244358063,0.015120843984186649,2.687212553767567,0.05130708261336736,0.14289999999999997,0.038474999999999995,0.41899999999999993,0.07460000000000001,1.2466343756374285,,,,,,,,,,,,,,,,
arxiv,pca2,PCA (2D),0.35169721245765684,0.02459406554698944,0.4481942921473642,0.031393109712285934,3.17135,0.13504999999999998,2.9900500000000005,0.1307,1.3543239634504318,,,,,,,,,,,,,,,,
arxiv,dire_auto,DiRe (auto cuVS),0.35169721245765684,0.025752632506191732,0.4481942921473642,0.032833087864977004,3.5740749999999997,0.1467,3.6110749999999996,0.146125,1.2578582330849837,0.35578441619873047,0.0,0.023601874709129333,0.0,3.6902500000000003,0.03899118490120562,0.13625,0.003968626966596873,0.44698233162903317,6.798699777552591e-17,0.029651723088428505,0.0,3.6994166666666666,0.033732711621411796,0.13725,0.005952940449895318
arxiv,dire,DiRe (IVF-Flat control),0.35169721245765684,0.025962537061423062,0.4481942921473642,0.032881779845434146,3.653125,0.13847500000000001,3.727125,0.132875,1.2456257294065831,0.35578441619873047,0.0,0.023601874709129333,0.0,3.7480833333333337,0.0145566422410298,0.13983333333333334,0.006644233088425872,0.44698233162903317,6.798699777552591e-17,0.029651723088428505,0.0,3.797833333333333,0.0164342122821063,0.1406666666666667,0.007891187067440056
