dataset,method,display,cold_sec,steady_sec,gpu_gib,knn_overlap,centroid_spearman,centroid_adjacency_recall,context_balanced_accuracy,bottleneck_beta0,bottleneck_beta1,dtw_beta0,dtw_beta1,q99_bottleneck_beta0,q99_bottleneck_beta1,q99_dtw_beta0,q99_dtw_beta1
tenx,pca2,PCA (2D),0.45929681100005837,0.1973729920000551,0.89410400390625,0.04195334017276764,0.6831695294081627,0.4333333373069763,0.4731127356657855,0.4270747244358063,0.01955434437841177,0.306675,0.05775,2.687212553767567,0.05020354492906602,0.40090000000000003,0.0833
tenx,dire_auto,DiRe (auto cuVS),10.673768752000342,7.511235444999784,7.1640625,0.1443733423948288,-0.3423733854706575,0.30000001192092896,0.4357206842204963,0.4270747244358063,0.03382926397025585,0.22147499999999995,0.046775,2.687212553767567,0.05303669239932801,0.4176,0.0741
tenx,dire,DiRe (IVF-Flat control),10.253673093000089,9.010752880999917,7.1640625,0.14786334335803986,-0.3404908431637559,0.28333336114883423,0.42890651107465827,0.4270747244358063,0.03134027123451233,0.220525,0.049049999999999996,2.687212553767567,0.05172695304755581,0.4154,0.0742
tenx,dire_spectral,DiRe (spectral init),15.476926304999324,14.657736519500304,7.17578125,0.1491600126028061,-0.1950329576121806,0.4333333373069763,0.4416996783308719,0.4270747244358063,0.04323603324592114,0.3036,0.0475,2.687212553767567,0.055226293326140576,0.40512499999999996,0.0833
tenx,cuml_umap,cuML UMAP,14.426390700999946,14.441290521000155,1.87457275390625,0.1442333459854126,0.09174856862925201,0.4833333492279053,0.6430304985061659,0.4270747244358063,0.03950318563729525,0.20237500000000003,0.04792500000000001,2.687212553767567,0.05490155023106365,0.412575,0.08014999999999999
tenx,cuml_tsne,cuML t-SNE,33.901326453000365,33.20051632900004,2.94097900390625,0.33471667766571045,-0.052447873610728404,0.3500000238418579,0.44670428071969165,0.4270747244358063,0.013651499524712563,0.130475,0.04055,2.687212553767567,0.05130708261336736,0.4191,0.0743
tenx,cellranger_tsne,Cell Ranger t-SNE,,,,0.28512001037597656,0.3907193813504092,0.3500000536441803,0.578194297497389,0.4270747244358063,0.015120843984186649,0.14289999999999997,0.038474999999999995,2.687212553767567,0.05130708261336736,0.41899999999999993,0.07460000000000001
arxiv,pca2,PCA (2D),1.0933213470007104,1.2348755885000173,2.072265625,0.014506666921079159,0.8734217654003749,0.6041666865348816,0.2523002584074512,0.35169721245765684,0.02459406554698944,3.17135,0.13504999999999998,0.4481942921473642,0.031393109712285934,2.9900500000000005,0.1307
arxiv,dire_auto,DiRe (auto cuVS),15.659768893000091,13.808423265500096,4.255859375,0.07162000983953476,0.8134801027849156,0.625,0.26739029128911057,0.35169721245765684,0.025752632506191732,3.5740749999999997,0.1467,0.4481942921473642,0.032833087864977004,3.6110749999999996,0.146125
arxiv,dire,DiRe (IVF-Flat control),44.97703008799999,44.08585875850031,4.25390625,0.07057000696659088,0.8013125911521632,0.6458333730697632,0.2539986059444496,0.35169721245765684,0.025962537061423062,3.653125,0.13847500000000001,0.4481942921473642,0.032881779845434146,3.727125,0.132875
arxiv,dire_spectral,DiRe (spectral init),48.27700171200013,46.373276616500334,4.25,0.06443333625793457,0.5387943607194944,0.5416666865348816,0.2475317833268078,0.35169721245765684,0.026274294033646582,5.46345,0.22905000000000003,0.42539558650210807,0.05386978077131421,3.7505250000000006,0.15542499999999998
arxiv,cuml_umap,cuML UMAP,40.27827315800005,39.868964586000175,2.49566650390625,0.09908000379800797,0.845940690325717,0.75,0.3204187160509368,0.35169721245765684,0.02459406554698944,5.3161249999999995,0.517325,0.4296650348450187,0.03612110361197086,3.62235,0.236
arxiv,cuml_tsne,cuML t-SNE,32.3821611379999,31.226001707500473,4.38433837890625,0.03900333121418953,0.42475171886936586,0.4375,0.17524743579010205,0.34864032864570615,0.02459406554698944,5.33565,0.44472500000000004,0.9623086003670467,0.05101972258373231,2.57035,0.2385
