dataset,m,metric,dire_method,competitor,competitor_display,dire_value,competitor_value,gap_competitor_minus_dire,winner
tenx,2000,q99_bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.08898443153642499,0.08898443153642499,0.0,tie
tenx,4000,dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.18825,0.1095,-0.07875,cuml_tsne
tenx,4000,dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.04825,0.05275,0.004499999999999997,dire_auto
tenx,4000,bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.3910366892814636,0.3910366892814636,0.0,tie
tenx,4000,bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.03923290967941284,0.013821538537740707,-0.025411371141672134,cuml_tsne
tenx,4000,q99_dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.413,0.41675,0.003750000000000031,dire_auto
tenx,4000,q99_dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.0865,0.08825,0.0017500000000000016,dire_auto
tenx,4000,q99_bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,2.6149994367508933,2.6149994367508933,0.0,tie
tenx,4000,q99_bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.13134666928990152,0.13134666928990152,0.0,tie
tenx,1000,dtw_beta0,dire_auto,cuml_umap,cuML UMAP,0.268,0.382,0.11399999999999999,dire_auto
tenx,1000,dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.081,0.078,-0.0030000000000000027,cuml_umap
tenx,1000,bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.3910366892814636,0.3910366892814636,0.0,tie
tenx,1000,bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.04087886027991772,0.016032667830586433,-0.024846192449331284,cuml_umap
tenx,1000,q99_dtw_beta0,dire_auto,cuml_umap,cuML UMAP,0.747,0.726,-0.02100000000000002,cuml_umap
tenx,1000,q99_dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.056,0.059,0.0029999999999999957,dire_auto
tenx,1000,q99_bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,2.4612562821899697,2.4612562821899697,0.0,tie
tenx,1000,q99_bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.039452334135771705,0.02043561784451664,-0.019016716291255065,cuml_umap
tenx,2000,dtw_beta0,dire_auto,cuml_umap,cuML UMAP,0.078,0.1335,0.05550000000000001,dire_auto
tenx,2000,dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.069,0.065,-0.0040000000000000036,cuml_umap
tenx,2000,bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.3910366892814636,0.3910366892814636,0.0,tie
tenx,2000,bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.036313608288764954,0.030916929244995117,-0.005396679043769836,cuml_umap
tenx,2000,q99_dtw_beta0,dire_auto,cuml_umap,cuML UMAP,0.5625,0.565,0.0024999999999999467,dire_auto
tenx,2000,q99_dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.072,0.074,0.0020000000000000018,dire_auto
tenx,2000,q99_bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,2.637183019695253,2.637183019695253,0.0,tie
tenx,2000,q99_bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.08898443153642499,0.08898443153642499,0.0,tie
tenx,4000,dtw_beta0,dire_auto,cuml_umap,cuML UMAP,0.18825,0.15375,-0.0345,cuml_umap
tenx,4000,dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.04825,0.056,0.00775,dire_auto
tenx,4000,bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,0.3910366892814636,0.3910366892814636,0.0,tie
tenx,4000,bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.03923290967941284,0.028788574039936066,-0.010444335639476776,cuml_umap
tenx,4000,q99_dtw_beta0,dire_auto,cuml_umap,cuML UMAP,0.413,0.4105,-0.0025000000000000022,cuml_umap
tenx,4000,q99_dtw_beta1,dire_auto,cuml_umap,cuML UMAP,0.0865,0.09525,0.008750000000000008,dire_auto
tenx,4000,q99_bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,2.6149994367508933,2.6149994367508933,0.0,tie
tenx,4000,q99_bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,0.13134666928990152,0.13134666928990152,0.0,tie
tenx,1000,dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.268,0.23,-0.038000000000000006,dire
tenx,1000,dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.081,0.081,0.0,tie
tenx,1000,bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,1000,bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.04087886027991772,0.029111694544553757,-0.01176716573536396,dire
tenx,1000,q99_dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.747,0.736,-0.01100000000000001,dire
tenx,1000,q99_dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.056,0.059,0.0029999999999999957,dire_auto
tenx,1000,q99_bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),2.4612562821899697,2.4612562821899697,0.0,tie
tenx,1000,q99_bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.039452334135771705,0.03249721386848717,-0.006955120267284537,dire
tenx,2000,dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.078,0.0925,0.014499999999999999,dire_auto
tenx,2000,dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.069,0.0805,0.011499999999999996,dire_auto
tenx,2000,bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,2000,bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.036313608288764954,0.026360010728240013,-0.00995359756052494,dire
tenx,2000,q99_dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.5625,0.5505,-0.01200000000000001,dire
tenx,2000,q99_dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.072,0.0725,0.0005000000000000004,dire_auto
tenx,2000,q99_bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),2.637183019695253,2.637183019695253,0.0,tie
tenx,2000,q99_bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.08898443153642499,0.08898443153642499,0.0,tie
tenx,4000,dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.18825,0.18375,-0.004500000000000004,dire
tenx,4000,dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.04825,0.05775,0.009500000000000001,dire_auto
tenx,4000,bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,4000,bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.03923290967941284,0.030783655121922493,-0.008449254557490349,dire
tenx,4000,q99_dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),0.413,0.413,0.0,tie
tenx,4000,q99_dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.0865,0.09075,0.004250000000000004,dire_auto
tenx,4000,q99_bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),2.6149994367508933,2.6149994367508933,0.0,tie
tenx,4000,q99_bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),0.13134666928990152,0.13134666928990152,0.0,tie
tenx,1000,dtw_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.268,0.305,0.03699999999999998,dire_auto
tenx,1000,dtw_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.081,0.043,-0.038000000000000006,dire_spectral
tenx,1000,bottleneck_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,1000,bottleneck_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.04087886027991772,0.01903606951236725,-0.02184279076755047,dire_spectral
tenx,1000,q99_dtw_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.747,0.74,-0.007000000000000006,dire_spectral
tenx,1000,q99_dtw_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.056,0.064,0.008,dire_auto
tenx,1000,q99_bottleneck_beta0,dire_auto,dire_spectral,DiRe (spectral init),2.4612562821899697,2.4612562821899697,0.0,tie
tenx,1000,q99_bottleneck_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.039452334135771705,0.02044747105024452,-0.019004863085527186,dire_spectral
tenx,2000,dtw_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.078,0.2905,0.21249999999999997,dire_auto
tenx,2000,dtw_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.069,0.0395,-0.029500000000000005,dire_spectral
tenx,2000,bottleneck_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,2000,bottleneck_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.036313608288764954,0.050786092877388,0.014472484588623047,dire_auto
tenx,2000,q99_dtw_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.5625,0.5435,-0.019000000000000017,dire_spectral
tenx,2000,q99_dtw_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.072,0.091,0.019000000000000003,dire_auto
tenx,2000,q99_bottleneck_beta0,dire_auto,dire_spectral,DiRe (spectral init),2.637183019695253,2.637183019695253,0.0,tie
tenx,2000,q99_bottleneck_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.08898443153642499,0.08898443153642499,0.0,tie
tenx,4000,dtw_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.18825,0.2715,0.08325000000000002,dire_auto
tenx,4000,dtw_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.04825,0.054,0.005749999999999998,dire_auto
tenx,4000,bottleneck_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,4000,bottleneck_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.03923290967941284,0.03425171971321106,-0.004981189966201782,dire_spectral
tenx,4000,q99_dtw_beta0,dire_auto,dire_spectral,DiRe (spectral init),0.413,0.399,-0.013999999999999957,dire_spectral
tenx,4000,q99_dtw_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.0865,0.09875,0.012250000000000011,dire_auto
tenx,4000,q99_bottleneck_beta0,dire_auto,dire_spectral,DiRe (spectral init),2.6149994367508933,2.6149994367508933,0.0,tie
tenx,4000,q99_bottleneck_beta1,dire_auto,dire_spectral,DiRe (spectral init),0.13134666928990152,0.13134666928990152,0.0,tie
tenx,1000,dtw_beta0,dire_auto,pca2,PCA (2D),0.268,0.4,0.132,dire_auto
tenx,1000,dtw_beta1,dire_auto,pca2,PCA (2D),0.081,0.063,-0.018000000000000002,pca2
tenx,1000,bottleneck_beta0,dire_auto,pca2,PCA (2D),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,1000,bottleneck_beta1,dire_auto,pca2,PCA (2D),0.04087886027991772,0.01134919747710228,-0.029529662802815437,pca2
tenx,1000,q99_dtw_beta0,dire_auto,pca2,PCA (2D),0.747,0.675,-0.07199999999999995,pca2
tenx,1000,q99_dtw_beta1,dire_auto,pca2,PCA (2D),0.056,0.062,0.005999999999999998,dire_auto
tenx,1000,q99_bottleneck_beta0,dire_auto,pca2,PCA (2D),2.4612562821899697,2.4612562821899697,0.0,tie
tenx,1000,q99_bottleneck_beta1,dire_auto,pca2,PCA (2D),0.039452334135771705,0.02043561784451664,-0.019016716291255065,pca2
tenx,2000,dtw_beta0,dire_auto,pca2,PCA (2D),0.078,0.3465,0.26849999999999996,dire_auto
tenx,2000,dtw_beta1,dire_auto,pca2,PCA (2D),0.069,0.0675,-0.0015000000000000013,pca2
tenx,2000,bottleneck_beta0,dire_auto,pca2,PCA (2D),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,2000,bottleneck_beta1,dire_auto,pca2,PCA (2D),0.036313608288764954,0.013194449245929718,-0.023119159042835236,pca2
tenx,2000,q99_dtw_beta0,dire_auto,pca2,PCA (2D),0.5625,0.5315,-0.031000000000000028,pca2
tenx,2000,q99_dtw_beta1,dire_auto,pca2,PCA (2D),0.072,0.087,0.015,dire_auto
tenx,2000,q99_bottleneck_beta0,dire_auto,pca2,PCA (2D),2.637183019695253,2.637183019695253,0.0,tie
tenx,2000,q99_bottleneck_beta1,dire_auto,pca2,PCA (2D),0.08898443153642499,0.08898443153642499,0.0,tie
tenx,4000,dtw_beta0,dire_auto,pca2,PCA (2D),0.18825,0.2945,0.10624999999999998,dire_auto
tenx,4000,dtw_beta1,dire_auto,pca2,PCA (2D),0.04825,0.07525,0.026999999999999996,dire_auto
tenx,4000,bottleneck_beta0,dire_auto,pca2,PCA (2D),0.3910366892814636,0.3910366892814636,0.0,tie
tenx,4000,bottleneck_beta1,dire_auto,pca2,PCA (2D),0.03923290967941284,0.023704107850790024,-0.015528801828622818,pca2
tenx,4000,q99_dtw_beta0,dire_auto,pca2,PCA (2D),0.413,0.39275,-0.02024999999999999,pca2
tenx,4000,q99_dtw_beta1,dire_auto,pca2,PCA (2D),0.0865,0.095,0.008500000000000008,dire_auto
tenx,4000,q99_bottleneck_beta0,dire_auto,pca2,PCA (2D),2.6149994367508933,2.6149994367508933,0.0,tie
tenx,4000,q99_bottleneck_beta1,dire_auto,pca2,PCA (2D),0.13134666928990152,0.13134666928990152,0.0,tie
