dataset,metric,direction,production_auto,forced_ivf_flat,auto_minus_control,directional_difference_favoring_auto,relative_auto_minus_control
tenx,centroid_adjacency_recall,higher,0.30000001192092896,0.28333336114883423,0.016666650772094727,0.016666650772094727,0.058823467538437105
tenx,centroid_distance_spearman,higher,-0.3423733854706575,-0.3404908431637559,-0.0018825423069016023,-0.0018825423069016023,-0.005528907295742492
tenx,context_balanced_accuracy,higher,0.4357206842204963,0.42890651107465827,0.006814173145838043,0.006814173145838043,0.015887315696757803
tenx,local_neighbor_overlap,higher,0.1443733423948288,0.14786334335803986,-0.0034900009632110596,-0.0034900009632110596,-0.023602881444120247
tenx,topology_bottleneck_beta0,lower,0.4270747244358063,0.4270747244358063,0.0,-0.0,0.0
tenx,topology_bottleneck_beta1,lower,0.03382926397025585,0.03134027123451233,0.002488992735743524,-0.002488992735743524,0.07941835337412816
tenx,topology_dtw_beta0,lower,0.22147499999999995,0.220525,0.0009499999999999509,-0.0009499999999999509,0.004307901598458002
tenx,topology_dtw_beta1,lower,0.046775,0.049049999999999996,-0.0022749999999999992,0.0022749999999999992,-0.04638124362895004
tenx,topology_q99_bottleneck_beta0,lower,2.687212553767567,2.687212553767567,0.0,-0.0,0.0
tenx,topology_q99_bottleneck_beta1,lower,0.05303669239932801,0.05172695304755581,0.001309739351772199,-0.001309739351772199,0.02532024939818268
tenx,topology_q99_dtw_beta0,lower,0.4176,0.4154,0.0022000000000000353,-0.0022000000000000353,0.00529610014443918
tenx,topology_q99_dtw_beta1,lower,0.0741,0.0742,-0.00010000000000000286,0.00010000000000000286,-0.0013477088948787449
arxiv,centroid_adjacency_recall,higher,0.625,0.6458333730697632,-0.020833373069763184,-0.020833373069763184,-0.03225812405874658
arxiv,centroid_distance_spearman,higher,0.8134801027849156,0.8013125911521632,0.012167511632752315,0.012167511632752315,0.015184475780241166
arxiv,context_balanced_accuracy,higher,0.26739029128911057,0.2539986059444496,0.013391685344660953,0.013391685344660953,0.05272346001611427
arxiv,local_neighbor_overlap,higher,0.07162000983953476,0.07057000696659088,0.0010500028729438782,0.0010500028729438782,0.01487888294301811
arxiv,topology_bottleneck_beta0,lower,0.35169721245765684,0.35169721245765684,0.0,-0.0,0.0
arxiv,topology_bottleneck_beta1,lower,0.025752632506191732,0.025962537061423062,-0.00020990455523133,0.00020990455523133,-0.008084901515392375
arxiv,topology_dtw_beta0,lower,3.5740749999999997,3.653125,-0.07905000000000051,0.07905000000000051,-0.021639007698888078
arxiv,topology_dtw_beta1,lower,0.1467,0.13847500000000001,0.008224999999999982,-0.008224999999999982,0.05939700306914592
arxiv,topology_q99_bottleneck_beta0,lower,0.4481942921473642,0.4481942921473642,0.0,-0.0,0.0
arxiv,topology_q99_bottleneck_beta1,lower,0.032833087864977004,0.032881779845434146,-4.869198045714257e-05,4.869198045714257e-05,-0.0014808194898824425
arxiv,topology_q99_dtw_beta0,lower,3.6110749999999996,3.727125,-0.11605000000000043,0.11605000000000043,-0.0311365999262167
arxiv,topology_q99_dtw_beta1,lower,0.146125,0.132875,0.013250000000000012,-0.013250000000000012,0.09971777986829737
